start_time,open,high,low,close,volume,turnover
2026-01-07 10:30:00+00:00,4456.6,4464.0,4456.4,4463.2,89.296,398438.983
2026-01-07 10:45:00+00:00,4463.2,4464.7,4461.3,4461.3,73.132,326448.4213
2026-01-07 11:00:00+00:00,4461.3,4461.3,4458.5,4459.4,56.283,250982.8249
2026-01-07 11:15:00+00:00,4459.4,4461.3,4453.8,4455.7,165.849,739142.7494
2026-01-07 11:30:00+00:00,4455.7,4456.2,4446.0,4446.6,476.704,2121126.1055
2026-01-07 11:45:00+00:00,4446.6,4449.4,4442.4,4442.9,128.021,569180.7581
2026-01-07 12:00:00+00:00,4442.9,4445.4,4438.9,4440.4,174.599,775467.2434
2026-01-07 12:15:00+00:00,4440.4,4444.8,4434.4,4444.8,274.027,1216259.0272
2026-01-07 12:30:00+00:00,4444.8,4449.1,4444.7,4445.1,63.733,283383.6481
2026-01-07 12:45:00+00:00,4445.1,4447.9,4440.3,4440.3,60.238,267768.0573
2026-01-07 13:00:00+00:00,4440.3,4445.1,4423.6,4429.0,470.914,2086909.4852
2026-01-07 13:15:00+00:00,4429.0,4442.9,4427.0,4438.4,294.68,1306510.2096
2026-01-07 13:30:00+00:00,4438.4,4444.8,4434.3,4440.5,139.513,619346.2685
2026-01-07 13:45:00+00:00,4440.5,4448.9,4440.2,4447.6,142.666,634227.4781
2026-01-07 14:00:00+00:00,4447.6,4448.8,4443.0,4444.0,284.445,1264627.0892
2026-01-07 14:15:00+00:00,4444.0,4448.8,4439.2,4440.6,179.661,798175.2386
2026-01-07 14:30:00+00:00,4440.6,4447.3,4433.1,4439.9,179.756,798002.8266
2026-01-07 14:45:00+00:00,4439.9,4447.9,4437.1,4441.6,195.541,868582.3091
2026-01-07 15:00:00+00:00,4441.6,4441.6,4423.5,4423.5,373.198,1654810.9944
2026-01-07 15:15:00+00:00,4423.5,4436.8,4421.3,4436.8,315.548,1396606.1927
2026-01-07 15:30:00+00:00,4436.8,4445.9,4436.8,4438.0,277.435,1232438.2055
2026-01-07 15:45:00+00:00,4438.0,4442.7,4436.9,4441.5,139.404,618978.4863
2026-01-07 16:00:00+00:00,4441.5,4446.2,4441.3,4441.9,280.762,1247448.4933
